Respondent_ID,Country,Age,Gender,Education_Level,Work_Experience_Years,Position_Level,Power_Distance,Individualism,Masculinity,Uncertainty_Avoidance,Long_Term_Orientation,Indulgence,Role_Assumption,Production_Emphasis,Initiation_of_Structure,Tolerance_of_Uncertainty,Integration,Consideration,Preferred_Leadership_Behavior,Leadership_Behavior_Encoded
1,JPN,48,Male,Bachelor,2,Junior,49.23788955519767,76.18485465442217,79.10946107770688,67.57019867619977,63.72514507916336,81.12719372858653,2,1,2,1,5,4,Supportive,1
2,NGA,37,Male,Master,17,Mid,33.79992480163914,55.90814309672044,46.5094187225185,28.581223213915106,9.720499535444436,0.4710081875119787,5,4,5,1,5,5,Transformational,3
3,IND,50,Female,Bachelor,11,Mid,58.18361701052352,28.382883755505848,43.504238874901766,70.52671916127937,71.4018780919012,68.59005002083208,4,5,1,4,5,2,Transactional,2
4,BRA,53,Female,Master,12,Senior,50.93298024174732,50.649409660988766,17.67275060535889,49.88403911560994,57.38384485335735,23.027369512868944,1,2,1,3,1,2,Laissez-Faire,0
5,USA,52,Male,Master,3,Junior,34.26538880537275,64.13668302950423,84.12093971112637,46.73517997747956,30.049324264220623,96.77442571932995,4,4,2,5,3,3,Transactional,2
6,USA,52,Female,Bachelor,21,Junior,55.99040363342092,70.34463614299256,77.50198781753583,98.3932463022241,37.083999632247554,53.07514080354652,5,3,4,3,4,5,Transactional,2
7,USA,32,Female,Bachelor,14,Mid,53.74751746069913,65.17462969480258,34.80019943039287,54.59445142081978,9.009158243315609,56.47030013999449,5,5,5,1,5,5,Transformational,3
8,NGA,47,Female,Bachelor,15,Junior,30.50925421275678,28.34265034626543,70.26570300550219,74.24307024925874,32.27884704146599,35.64828248233006,5,5,4,2,1,1,Supportive,1
9,IND,53,Male,PhD,10,Mid,30.495003353440868,41.30411676132728,71.01835410191394,70.21820284590729,96.68429102962224,53.67306223024113,3,3,4,2,1,4,Supportive,1
10,IND,29,Male,Master,10,Junior,71.80059038765579,71.34952514742507,28.2328573781292,28.344284070812613,48.61848626171792,74.97371876241444,2,2,5,3,1,3,Supportive,1
11,USA,31,Female,PhD,17,Mid,76.52646437736831,81.61331360352523,59.09243759509465,79.8342029651453,47.42409220518462,56.19201540943217,1,5,5,1,4,5,Transactional,2
12,NGA,51,Female,Bachelor,25,Senior,95.29443359271238,23.303049054358183,30.402304272976902,45.85273627468612,62.92287889895489,64.12628898916901,2,1,4,1,3,1,Laissez-Faire,0
13,NGA,26,Male,Bachelor,27,Senior,26.960375236887984,22.9560375648984,73.19088415487292,83.9151639357388,48.44438097364806,47.24680779548904,5,1,4,2,5,1,Supportive,1
14,JPN,49,Female,High School,33,Mid,29.42891939026028,65.03831705373436,22.30477619863312,68.6112626092306,35.55090997629768,71.63997107228298,5,1,4,2,5,5,Transactional,2
